kmer_id	Contig
kmer_243207158.0	Contig_1
kmer_421562416.0	Contig_1
kmer_488411619.0	Contig_1
kmer_145469629.0	Contig_1
kmer_271715976.0	Contig_1
kmer_352503556.0	Contig_1
kmer_235620876.0	Contig_1
kmer_119267202.0	Contig_1
kmer_231575359.0	Contig_1
kmer_495475779.0	Contig_1
kmer_524205596.0	Contig_1
kmer_391631488.0	Contig_1
kmer_299501629.0	Contig_1
kmer_111808503.0	Contig_1
kmer_262062305.0	Contig_1
kmer_232703333.0	Contig_1
kmer_99329666.0	Contig_1
kmer_44057133.0	Contig_1
kmer_20425117.0	Contig_1
kmer_243091007.0	Contig_1
kmer_501237447.0	Contig_1
kmer_355430490.0	Contig_1
kmer_267227751.0	Contig_1
kmer_238324915.0	Contig_1
kmer_377202716.0	Contig_1
kmer_297831083.0	Contig_1
kmer_98474367.0	Contig_1
kmer_230419410.0	Contig_1
kmer_178801177.0	Contig_1
kmer_229217907.0	Contig_1
kmer_178014386.0	Contig_1
kmer_219026309.0	Contig_1
kmer_226525525.0	Contig_1
kmer_77285055.0	Contig_1
kmer_180662510.0	Contig_1
kmer_310743549.0	Contig_1
kmer_236972254.0	Contig_1
kmer_142565799.0	Contig_1
kmer_282838596.0	Contig_1
kmer_446642784.0	Contig_1
kmer_517549152.0	Contig_1
kmer_468331347.0	Contig_1
kmer_208236591.0	Contig_1
kmer_88233699.0	Contig_1
kmer_97162930.0	Contig_1
kmer_227384828.0	Contig_1
kmer_492054837.0	Contig_1
kmer_192317472.0	Contig_1
kmer_348811915.0	Contig_1
kmer_382336706.0	Contig_1
kmer_380551048.0	Contig_1
kmer_381992889.0	Contig_1
kmer_382246183.0	Contig_1
kmer_376655932.0	Contig_1
kmer_496837620.0	Contig_1
kmer_246395138.0	Contig_1
kmer_167287899.0	Contig_1
kmer_308531094.0	Contig_1
kmer_132242112.0	Contig_1
kmer_455291592.0	Contig_1
kmer_373836700.0	Contig_1
kmer_158423776.0	Contig_1
kmer_333098986.0	Contig_1
kmer_176845920.0	Contig_1
kmer_75604895.0	Contig_1
kmer_33434136.0	Contig_1
kmer_402206476.0	Contig_1
kmer_171475698.0	Contig_1
kmer_309223034.0	Contig_1
kmer_82836819.0	Contig_1
kmer_185303100.0	Contig_1
kmer_78959859.0	Contig_1
kmer_415178781.0	Contig_1
kmer_177622107.0	Contig_1
kmer_414778469.0	Contig_1
kmer_174042140.0	Contig_1
kmer_407374933.0	Contig_1
kmer_88515541.0	Contig_1
kmer_208881216.0	Contig_1
kmer_469270831.0	Contig_1
kmer_519450991.0	Contig_1
kmer_461225835.0	Contig_1
kmer_282727352.0	Contig_1
kmer_206724599.0	Contig_1
kmer_466183115.0	Contig_1
kmer_511661702.0	Contig_1
kmer_394717755.0	Contig_1
kmer_511402819.0	Contig_1
kmer_526360467.0	Contig_1
kmer_510628435.0	Contig_1
kmer_279138313.0	Contig_1
kmer_327883244.0	Contig_1
kmer_140180700.0	Contig_1
kmer_303689110.0	Contig_1
kmer_130522508.0	Contig_1
kmer_487007651.0	Contig_1
kmer_238073332.0	Contig_1
kmer_158397164.0	Contig_1
kmer_294706210.0	Contig_1
kmer_73096139.0	Contig_1
kmer_75603838.0	Contig_1
kmer_401112255.0	Contig_1
kmer_20993385.0	Contig_1
kmer_45321150.0	Contig_1
kmer_101744116.0	Contig_1
kmer_227523529.0	Contig_1
kmer_97223910.0	Contig_1
kmer_294768147.0	Contig_1
kmer_73657056.0	Contig_1
kmer_172180428.0	Contig_1
kmer_403632952.0	Contig_1
kmer_49443807.0	Contig_1
kmer_110554969.0	Contig_1
kmer_259626948.0	Contig_1
kmer_280343123.0	Contig_1
kmer_469270572.0	Contig_1
kmer_519450636.0	Contig_1
kmer_461223043.0	Contig_1
kmer_277397731.0	Contig_1
kmer_206638972.0	Contig_1
kmer_356475147.0	Contig_1
kmer_507712189.0	Contig_1
kmer_380930290.0	Contig_1
kmer_441334178.0	Contig_1
kmer_451426849.0	Contig_1
kmer_345865650.0	Contig_1
kmer_255603928.0	Contig_1
kmer_497685741.0	Contig_1
kmer_262414989.0	Contig_1
kmer_522329970.0	Contig_1
kmer_276969731.0	Contig_1
kmer_61962113.0	Contig_1
kmer_140964604.0	Contig_1
kmer_329599085.0	Contig_1
kmer_289948229.0	Contig_1
kmer_40659733.0	Contig_1
kmer_92532022.0	Contig_1
kmer_52858343.0	Contig_1
kmer_24255923.0	Contig_1
kmer_11958916.0	Contig_1
kmer_103711331.0	Contig_1
kmer_242963094.0	Contig_1
kmer_383514874.0	Contig_1
kmer_354226142.0	Contig_1
kmer_245991878.0	Contig_1
kmer_187585783.0	Contig_1
kmer_376642768.0	Contig_1
kmer_334818202.0	Contig_1
kmer_191687118.0	Contig_1
kmer_216731726.0	Contig_1
kmer_479821870.0	Contig_1
kmer_42077712.0	Contig_1
kmer_95325964.0	Contig_1
kmer_222624323.0	Contig_1
kmer_446933170.0	Contig_1
kmer_129101802.0	Contig_1
kmer_198431643.0	Contig_1
kmer_83997622.0	Contig_1
kmer_283927084.0	Contig_1
kmer_127281198.0	Contig_1
kmer_410345320.0	Contig_1
kmer_446465765.0	Contig_1
kmer_517526351.0	Contig_1
kmer_468318833.0	Contig_1
kmer_208227905.0	Contig_1
kmer_88229343.0	Contig_1
kmer_168195476.0	Contig_2
kmer_490296869.0	Contig_2
kmer_523536279.0	Contig_2
kmer_391151951.0	Contig_2
kmer_166073132.0	Contig_2
kmer_71204720.0	Contig_2
kmer_482128125.0	Contig_2
kmer_372626961.0	Contig_2
kmer_157846820.0	Contig_2
kmer_489400419.0	Contig_2
kmer_299623358.0	Contig_2
kmer_112978108.0	Contig_2
kmer_264229772.0	Contig_2
kmer_253679547.0	Contig_2
kmer_324031812.0	Contig_2
kmer_157701715.0	Contig_2
kmer_143479673.0	Contig_2
kmer_481148154.0	Contig_2
kmer_57328875.0	Contig_2
kmer_95780040.0	Contig_2
kmer_296350758.0	Contig_2
kmer_85668005.0	Contig_2
kmer_202360534.0	Contig_2
kmer_458942790.0	Contig_2
kmer_369244613.0	Contig_2
kmer_89055976.0	Contig_2
kmer_210104116.0	Contig_2
kmer_161925905.0	Contig_2
kmer_307596794.0	Contig_2
kmer_332886505.0	Contig_2
kmer_203495681.0	Contig_2
kmer_460800822.0	Contig_2
kmer_392894822.0	Contig_2
kmer_186703517.0	Contig_2
kmer_340177046.0	Contig_2
kmer_145170533.0	Contig_2
kmer_63407217.0	Contig_2
kmer_481587819.0	Contig_2
kmer_372457390.0	Contig_2
kmer_462807933.0	Contig_2
kmer_499162661.0	Contig_2
kmer_268564883.0	Contig_2
kmer_525652570.0	Contig_2
kmer_398591773.0	Contig_2
kmer_332515863.0	Contig_2
kmer_247428520.0	Contig_2
kmer_105447588.0	Contig_2
kmer_298692397.0	Contig_2
kmer_418719634.0	Contig_2
kmer_208204615.0	Contig_2
