qreplicate	cross	strain	sex	embryos	pupae	adults	Adult_Male	Adult_Female	Tran_Male	Tran_Female	pupua2embryos	adult2embryo
1	Cas9.1	1a	male	381	158	158	88	70	42	35	41.46981627	100
1	Cas9.1	1b	male	507	119	114	65	49	24	23	23.47140039	95.79831933
1	Cas9.1	1c	male	404	80	78	48	30	18	20	19.8019802	97.5
1	Cas9.1	1c	female	355	82	79	43	36	25	16	23.09859155	96.34146341
1	Cas9.1	1d	male	449	145	137	77	60	36	29	32.29398664	94.48275862
1	Cas9.1	1e	male	190	46	45	24	21	7	10	24.21052632	97.82608696
1	Cas9.1	1f	male	534	184	169	85	84	51	41	34.45692884	91.84782609
1	Cas9.1	1g	male	520	91	90	54	36	26	11	17.5	98.9010989
1	WT	WT1	WT	452	129	129	65	64	0	0	28.53982301	100
2	Cas9.1	1a	male	347	79	79	39	40	22	18	22.76657061	100
2	Cas9.1	1b	male	492	93	91	49	42	22	18	18.90243902	97.84946237
2	Cas9.1	1c	male	301	36	36	20	16	12	8	11.96013289	100
2	Cas9.1	1d	male	398	69	66	39	27	12	8	17.33668342	95.65217391
2	Cas9.1	1e	male	172	13	12	9	3	3	2	7.558139535	92.30769231
2	Cas9.1	1f	male	558	92	86	57	29	30	14	16.4874552	93.47826087
2	Cas9.1	1g	male	401	27	27	13	14	5	7	6.733167082	100
2	WT	WT1	WT	392	33	31	18	13	0	0	8.418367347	93.93939394
3	Cas9.1	1a	male	390	88	82	51	31	36	19	22.56410256	93.18181818
3	Cas9.1	1b	male	384	68	66	40	26	15	16	17.70833333	97.05882353
3	Cas9.1	1c	male	226	71	61	36	25	18	10	31.4159292	85.91549296
3	Cas9.1	1d	male	331	64	55	32	23	16	15	19.33534743	85.9375
3	Cas9.1	1e	male	162	24	22	16	6	8	2	14.81481481	91.66666667
3	Cas9.1	1f	male	421	153	131	75	56	31	29	36.34204276	85.62091503
3	Cas9.1	1g	male	275	72	68	34	34	12	15	26.18181818	94.44444444
3	WT	WT1	WT	362	93	79	32	47	0	0	25.69060773	84.94623656
1	Cas9.2	2a	male	353	130	127	83	44	28	23	36.82719547	97.69230769
1	Cas9.2	2a	female	636	438	357	180	177	99	92	68.86792453	81.50684932
1	Cas9.2	2b	male	135	67	58	35	23	24	7	49.62962963	86.56716418
1	Cas9.2	2c	male	205	109	99	68	31	38	16	53.17073171	90.82568807
1	Cas9.2	2d	male	203	139	135	81	54	35	24	68.4729064	97.12230216
1	WT	WT2	WT	453	266	261	127	134	0	0	58.7196468	98.12030075
2	Cas9.2	2a	male	370	108	104	61	43	23	27	29.18918919	96.2962963
2	Cas9.2	2b	male	103	34	32	24	8	9	5	33.00970874	94.11764706
2	Cas9.2	2c	male	283	67	63	36	27	15	10	23.67491166	94.02985075
2	Cas9.2	2d	male	159	13	13	8	5	3	4	8.176100629	100
2	WT	WT2	WT	372	145	144	68	76	0	0	38.97849462	99.31034483
3	Cas9.2	2a	male	186	112	105	65	40	24	26	60.21505376	93.75
3	Cas9.2	2b	male	138	19	16	7	9	3	4	13.76811594	84.21052632
3	Cas9.2	2c	male	237	59	55	39	16	20	10	24.89451477	93.22033898
3	Cas9.2	2d	male	123	26	26	14	12	4	5	21.13821138	100
3	WT	WT2	WT	430	41	39	21	18	0	0	9.534883721	95.12195122
