cross	strain	Generation	Males_crossed	Females_crossed	Type	Transgenic_Parent	Temperature	Male_progeny	Female_progeny	Sum_adults	pct_male
double	2a+2a	1	1	10	single	M	27	32	17	49	65.30612245
double	2a+2a	1	1	10	single	M	27	38	6	44	86.36363636
double	2a+2a	1	1	10	single	M	27	30	5	35	85.71428571
double	2a+2a	1	1	10	single	M	27	29	12	41	70.73170732
double	2a+2a	1	1	10	single	M	27	57	26	83	68.6746988
double	2a+2a	1	1	10	single	M	27	76	26	102	74.50980392
double	2a+2a	1	1	10	single	M	27	74	24	98	75.51020408
double	2a+2a	1	1	10	single	M	27	35	21	56	62.5
double	2a+2a	1	1	10	single	M	27	113	48	161	70.1863354
double	2c+2c	1	1	10	single	M	27	52	22	74	70.27027027
double	2c+2c	1	1	10	single	M	27	55	23	78	70.51282051
double	2c+2c	1	1	10	single	M	27	42	13	55	76.36363636
double	2c+2c	1	1	10	single	M	27	13	2	15	86.66666667
double	2c+2c	1	1	10	single	M	27	91	25	116	78.44827586
double	2c+2c	1	1	10	single	M	27	36	21	57	63.15789474
double	2c+2c	1	1	10	single	M	27	32	9	41	78.04878049
double	2c+2c	1	1	10	single	M	27	11	2	13	84.61538462
double	2c+2c	1	1	10	single	M	27	82	38	120	68.33333333
double	2c+2c	1	1	10	single	M	27	64	19	83	77.10843373
double	1e+1e	1	1	10	single	M	27	72	48	120	60
double	1e+1e	1	1	10	single	M	27	62	25	87	71.26436782
double	1e+1e	1	1	10	single	M	27	161	99	260	61.92307692
double	1e+1e	1	1	10	single	M	27	51	21	72	70.83333333
double	1e+1e	1	1	10	single	M	27	159	77	236	67.37288136
double	1e+1e	1	1	10	single	M	27	255	127	382	66.7539267
double	1e+1e	1	1	10	single	M	27	288	101	389	74.03598972
double	1e+1e	1	1	10	single	M	27	14	6	20	70
double	1e+1e	1	1	10	single	M	27	49	20	69	71.01449275
double	1e+1e	1	1	10	single	M	27	250	154	404	61.88118812
WT	WT	1	1	10	single	None	27	129	143	272	47.42647059
WT	WT	1	1	10	single	None	27	59	61	120	49.16666667
WT	WT	1	1	10	single	None	27	72	71	143	50.34965035
WT	WT	1	1	10	single	None	27	79	85	164	48.17073171
WT	WT	1	1	10	single	None	27	74	71	145	51.03448276
WT	WT	1	1	10	single	None	27	66	69	135	48.88888889
WT	WT	1	1	10	single	None	27	79	76	155	50.96774194
WT	WT	1	1	10	single	None	27	122	118	240	50.83333333
WT	WT	1	1	10	single	None	27	89	87	176	50.56818182
WT	WT	1	1	10	single	None	27	69	60	129	53.48837209
Cas9.2	2a	1	1	10	single	M	27	115	43	158	72.78481013
Cas9.2	2a	1	1	10	single	M	27	93	54	147	63.26530612
Cas9.2	2a	1	1	10	single	M	27	81	35	116	69.82758621
Cas9.2	2a	1	1	10	single	M	27	99	57	156	63.46153846
Cas9.2	2a	1	1	10	single	M	27	77	36	113	68.14159292
Cas9.2	2a	1	1	10	single	M	27	54	27	81	66.66666667
Cas9.2	2a	1	1	10	single	M	27	55	27	82	67.07317073
Cas9.2	2a	1	1	10	single	M	27	59	35	94	62.76595745
Cas9.2	2a	1	1	10	single	M	27	83	49	132	62.87878788
Cas9.2	2a	1	1	10	single	M	27	71	33	104	68.26923077
double	1e+2c	1	1	10	single	M	27	347	201	548	63.32116788
double	1e+2c	1	1	10	single	M	27	345	351	696	49.56896552
double	1e+2c	1	1	10	single	M	27	352	324	676	52.07100592
double	1e+2c	1	1	10	single	M	27	534	313	847	63.04604486
double	1e+2c	1	1	10	single	M	27	444	286	730	60.82191781
double	1e+2c	1	1	10	single	M	27	399	314	713	55.96072931
double	1e+2c	1	1	10	single	M	27	374	308	682	54.83870968
double	1e+2c	1	1	10	single	M	27	456	275	731	62.38030096
double	1e+2c	1	1	10	single	M	27	413	210	623	66.29213483
double	1e+2c	1	1	10	single	M	27	345	299	644	53.57142857
double	2a+2c	1	1	10	single	M	27	318	117	435	73.10344828
double	2a+2c	1	1	10	single	M	27	172	91	263	65.39923954
double	2a+2c	1	1	10	single	M	27	124	77	201	61.69154229
double	2a+2c	1	1	10	single	M	27	311	122	433	71.82448037
double	2a+2c	1	1	10	single	M	27	12	376	388	3.092783505
double	2a+2c	1	1	10	single	M	27	248	120	368	67.39130435
double	2a+2c	1	1	10	single	M	27	251	132	383	65.53524804
double	2a+2c	1	1	10	single	M	27	270	132	402	67.1641791
double	2a+2c	1	1	10	single	M	27	103	33	136	75.73529412
double	1e+2a	1	1	10	single	M	27	101	52	153	66.0130719
double	1e+2a	1	1	10	single	M	27	584	173	757	77.14663144
double	1e+2a	1	1	10	single	M	27	439	97	536	81.90298507
double	1e+2a	1	1	10	single	M	27	471	118	589	79.96604414
double	1e+2a	1	1	10	single	M	27	342	89	431	79.35034803
double	1e+2a	1	1	10	single	M	27	444	79	523	84.89483748
double	1e+2a	1	1	10	single	M	27	471	131	602	78.23920266
double	1e+2a	1	1	10	single	M	27	228	51	279	81.72043011
double	1e+2a	1	1	10	single	M	27	527	134	661	79.72768533
double	1e+2a	1	1	10	single	M	27	404	80	484	83.47107438
double	1e+2a	1	1	10	single	M	27	375	102	477	78.6163522
