cross	strain	Generation	Males_crossed	Females_crossed	Type	Transgenic_Parent	Temperature	Male_progeny	Female_progeny	Sum_adults	pct_male
Cas9.1	1a	3	20	30	pool	M	27	367	257	624	58.81410256
Cas9.1	1a	4	20	30	pool	M	27	583	510	1093	53.33943275
Cas9.1	1a	5	20	30	pool	M	27	648	547	1195	54.22594142
Cas9.1	1a	6	20	30	pool	M	27	365	320	685	53.28467153
Cas9.1	1a	3	20	30	pool	F	27	401	397	798	50.25062657
Cas9.1	1a	4	20	30	pool	F	27	663	735	1398	47.4248927
Cas9.1	1a	5	20	30	pool	F	27	802	856	1658	48.37153197
Cas9.1	1a	6	20	30	pool	F	27	453	551	1004	45.11952191
Cas9.1	1b	3	20	30	pool	M	27	489	400	889	55.0056243
Cas9.1	1b	4	20	30	pool	M	27	375	329	704	53.26704545
Cas9.1	1b	5	20	30	pool	M	27	621	608	1229	50.52888527
Cas9.1	1b	6	20	30	pool	M	27	273	213	486	56.17283951
Cas9.1	1b	3	20	30	pool	F	27	213	194	407	52.33415233
Cas9.1	1b	4	20	30	pool	F	27	434	499	933	46.51661308
Cas9.1	1b	5	20	30	pool	F	27	506	664	1170	43.24786325
Cas9.1	1b	6	20	30	pool	F	27	507	542	1049	48.33174452
Cas9.1	1c	3	20	30	pool	M	27	418	361	779	53.65853659
Cas9.1	1c	4	20	30	pool	M	27	536	400	936	57.26495726
Cas9.1	1c	5	20	30	pool	M	27	732	620	1352	54.14201183
Cas9.1	1c	6	20	30	pool	M	27	353	272	625	56.48
Cas9.1	1c	3	20	30	pool	F	27	187	185	372	50.2688172
Cas9.1	1c	4	20	30	pool	F	27	453	455	908	49.88986784
Cas9.1	1c	5	20	30	pool	F	27	627	696	1323	47.39229025
Cas9.1	1c	6	20	30	pool	F	27	352	418	770	45.71428571
Cas9.1	1d	3	20	30	pool	M	27	612	480	1092	56.04395604
Cas9.1	1d	4	20	30	pool	M	27	475	468	943	50.37115589
Cas9.1	1d	5	20	30	pool	M	27	686	645	1331	51.54019534
Cas9.1	1d	6	20	30	pool	M	27	215	293	508	42.32283465
Cas9.1	1d	3	20	30	pool	F	27	258	267	525	49.14285714
Cas9.1	1d	4	20	30	pool	F	27	622	674	1296	47.99382716
Cas9.1	1d	5	20	30	pool	F	27	726	816	1542	47.08171206
Cas9.1	1d	6	20	30	pool	F	27	480	642	1122	42.78074866
Cas9.1	1e	3	20	30	pool	M	27	376	248	624	60.25641026
Cas9.1	1e	4	20	30	pool	M	27	598	445	1043	57.3346117
Cas9.1	1e	5	20	30	pool	M	27	444	509	953	46.58971668
Cas9.1	1e	6	20	30	pool	M	27	368	293	661	55.67322239
Cas9.1	1e	3	20	30	pool	F	27	296	307	603	49.08789386
Cas9.1	1e	4	20	30	pool	F	27	514	555	1069	48.08231993
Cas9.1	1e	5	20	30	pool	F	27	654	608	1262	51.82250396
Cas9.1	1e	6	20	30	pool	F	27	325	328	653	49.77029096
Cas9.1	1f	3	20	30	pool	M	27	372	297	669	55.60538117
Cas9.1	1f	4	20	30	pool	M	27	556	507	1063	52.30479774
Cas9.1	1f	5	20	30	pool	M	27	453	501	954	47.48427673
Cas9.1	1f	6	20	30	pool	M	27	275	217	492	55.89430894
Cas9.1	1f	3	20	30	pool	F	27	240	224	464	51.72413793
Cas9.1	1f	4	20	30	pool	F	27	413	463	876	47.14611872
Cas9.1	1f	5	20	30	pool	F	27	647	687	1334	48.50074963
Cas9.1	1f	6	20	30	pool	F	27	428	446	874	48.97025172
Cas9.1	1g	3	20	30	pool	M	27	328	273	601	54.57570715
Cas9.1	1g	4	20	30	pool	M	27	524	467	991	52.87588295
Cas9.1	1g	5	20	30	pool	M	27	767	700	1467	52.28357192
Cas9.1	1g	6	20	30	pool	M	27	282	192	474	59.49367089
Cas9.1	1g	3	20	30	pool	F	27	407	435	842	48.33729216
Cas9.1	1g	4	20	30	pool	F	27	377	413	790	47.72151899
Cas9.1	1g	5	20	30	pool	F	27	686	700	1386	49.49494949
Cas9.1	1g	6	20	30	pool	F	27	375	318	693	54.11255411
WT	WT	1	20	30	pool	None	27	217	280	497	43.6619718
WT	WT	1	20	30	pool	None	27	260	256	516	50.3875969
WT	WT	1	20	30	pool	None	27	73	69	142	51.4084507
Cas9.2	2a	3	20	30	pool	M	27	2620	1286	3906	67.07629288
Cas9.2	2a	4	20	30	pool	M	27	3492	1879	5371	65.01582573
Cas9.2	2a	5	20	30	pool	M	27	3590	1908	5498	65.29647144
Cas9.2	2a	6	20	30	pool	M	27	3776	1803	5579	67.68238035
Cas9.2	2a	3	20	30	pool	F	27	2580	2076	4656	55.41237113
Cas9.2	2a	4	20	30	pool	F	27	3005	2537	5542	54.22230242
Cas9.2	2a	5	20	30	pool	F	27	3590	3028	6618	54.24599577
Cas9.2	2a	6	20	30	pool	F	27	3409	2639	6048	56.36574074
Cas9.2	2b	3	20	30	pool	M	27	318	168	486	65.4320988
Cas9.2	2b	4	20	30	pool	M	27	643	317	960	66.9791667
Cas9.2	2b	5	20	30	pool	M	27	306	119	425	72
