Cas9	RpL19
30.50872898	14.97578096
31.20411301	14.08164644
30.68003464	17.80873871
26.01421165	15.27182341
25.91019344	14.93244076
26.55193901	14.67851257
30.63471127	14.87406874
30.77945805	14.74885511
29.9994545	14.6608882
29.38983345	14.8175745
29.31071377	15.00512552
29.51667786	15.18706274
31.04762173	14.65020132
28.96114254	14.72034025
30.59258461	15.01154232
24.45876503	14.76582861
24.56836033	14.9473362
25.28025436	14.97400618
27.21926498	15.1544466
27.20298481	15.25708103
27.67872906	15.82414436
