Cas9	RpL19
28.16472244	15.76738167
27.31453419	15.53146458
27.9663372	15.26886034
26.21210289	14.37271452
26.28441811	14.29754019
25.46509838	14.44751549
31.70208454	14.99424171
30.05696774	14.81633234
31.36463547	14.55736923
25.91291237	14.75513601
28.6928854	15.1393218
28.82446766	15.2574873
31.15294838	14.59722137
31.2412262	14.57877827
28.25741196	14.49757147
24.87384033	14.95554638
24.79741573	15.04939795
24.11076164	14.87503719
29.81139851	14.96336508
25.32101631	21.08473682
29.38064861	14.89402437
