Cas9	RpL19
29.65658855	15.53142786
31.58307171	12.83868885
30.66950989	17.37319469
29.13769436	12.23388529
28.83078671	13.63467121
28.77749634	12.08494043
29.90306664	11.40247297
31.33889198	12.09522104
28.33736992	12.69003868
30.72423553	12.64361477
29.32891846	12.15112352
29.07686901	10.65831232
31.82551384	13.95827818
26.76819324	11.75753069
27.22557354	11.3787756
28.85058212	16.77641106
27.82457638	13.1656394
26.06792259	12.32538557
26.45345306	10.15603113
27.69216442	12.38726616
28.40819931	12.4157238
