"repeatmasker_name" "repeatmasker_subtype" "colors" "fam_gen_perc_RM"
"1" "BEL-1_DPer_pol" "LTR" "not_kmer" 0.121821084871336
"2" "BEL-1_DVir_pol" "LTR" "not_kmer" 0.108872334089852
"3" "BEL-1_SI_pol" "LTR" "not_kmer" 0.00775468547345414
"4" "BEL-10_DEl_pol" "LTR" "not_kmer" 0.0565823224784629
"5" "BEL-10_DWil_p2" "LTR" "not_kmer" 0.0149834873559227
"6" "BEL-10_DWil_pol" "LTR" "not_kmer" 0.720268221438539
"7" "BEL-10_LH_pol" "LTR" "not_kmer" 0.000472858953221832
"8" "BEL-11_LH_pol" "LTR" "not_kmer" 0.0249430580832218
"9" "BEL-13_DEl_pol" "LTR" "not_kmer" 0.154371836077755
"10" "BEL-13_DWil_pol" "LTR" "not_kmer" 0.00465576455503654
"11" "BEL-15_DWil_pol" "LTR" "not_kmer" 0.0208031091499751
"12" "BEL-174_AA_pol" "LTR" "not_kmer" 0.00468999565030171
"13" "BEL-180_AA_pol" "LTR" "not_kmer" 0.0168192137392609
"14" "BEL-2_NVi_pol" "LTR" "not_kmer" 0.0101028714888503
"15" "BEL-20_DAn_pol" "LTR" "not_kmer" 0.00895143141184239
"16" "BEL-21_DAn_pol" "LTR" "not_kmer" 0.0183653182087378
"17" "BEL-21_DTa_pol" "LTR" "not_kmer" 0.0173487889189515
"18" "BEL-22_DTa_p2" "LTR" "not_kmer" 0.0795916592781756
"19" "BEL-22_DTa_pol" "LTR" "not_kmer" 0.38694930767442
"20" "BEL-29_AA_pol" "LTR" "not_kmer" 0.0176410956245982
"21" "BEL-3_DMoj_pol" "LTR" "not_kmer" 0.32813760121707
"22" "BEL-4_DBp_pol" "LTR" "not_kmer" 0.00697139747003345
"23" "BEL-4_DVir_pol" "LTR" "not_kmer" 0.00921118501708987
"24" "BEL-5_CQ_pol" "LTR" "not_kmer" 0.00975888254133262
"25" "BEL-5_DBp_pol" "LTR" "not_kmer" 0.784017595588404
"26" "BEL-5_LH_pol" "LTR" "not_kmer" 0.00674084097545332
"27" "BEL-57_CQ_pol" "LTR" "not_kmer" 0.0686179084539026
"28" "BEL-6_DEl_pol_pol" "LTR" "not_kmer" 0.325851836610687
"29" "BEL-6_DPe_pol" "LTR" "not_kmer" 0.0446933932543063
"30" "BEL-6_DYa_pol" "LTR" "not_kmer" 0.0119090651625479
"31" "BEL-620_AA_pol" "LTR" "not_kmer" 0.000223844515116368
"32" "BEL-633_AA_pol" "LTR" "not_kmer" 0.0532119019907362
"33" "BEL-8_DAn_p2" "LTR" "not_kmer" 0.0615448244949932
"34" "BEL-8_DAn_pol" "LTR" "not_kmer" 0.848542203366333
"35" "BEL-8_DEl_pol" "LTR" "not_kmer" 0.0559829427123492
"36" "BEL1_Dya_pol" "LTR" "not_kmer" 0.00950516971760253
"37" "BEL17_AG_pol" "LTR" "not_kmer" 0.00361809252993937
"38" "BEL2_Dya_pol" "LTR" "not_kmer" 0.0401171656559153
"39" "BEL3_DM-I_pol" "LTR" "not_kmer" 0.0311694258327779
"40" "Bilbo_gag" "LINE" "not_kmer" 0.0663995992411302
"41" "Bilbo_pol" "LINE" "not_kmer" 1.39057011855604
"42" "Chapaev-20_HM" "DNA_Transposon" "not_kmer" 0.00990251890185707
"43" "Chapaev3-1_DW" "DNA_Transposon" "not_kmer" 0.00899371688246408
"44" "Chapaev3-1_ET" "DNA_Transposon" "not_kmer" 0.0191814949115309
"45" "Chapaev3-1_HM" "DNA_Transposon" "not_kmer" 0.0310788141100172
"46" "Chapaev3-1_SM" "DNA_Transposon" "not_kmer" 0.017128300393567
"47" "Chapaev3-2_HM" "DNA_Transposon" "not_kmer" 0.0351264733256372
"48" "Chapaev3-2_NVi" "DNA_Transposon" "not_kmer" 0.0268660401995888
"49" "Chapaev3-5_HM" "DNA_Transposon" "not_kmer" 0.00911218331999943
"50" "Charlie5_tp" "DNA_Transposon" "not_kmer" 0.0308798039189167
"51" "Chouto_pol" "LTR" "not_kmer" 0.209753721029125
"52" "CiI_pol" "LINE" "not_kmer" 0.055870181457358
"53" "Copia" "LTR" "not_kmer" 0.0252518091385547
"54" "Copia-1_DBp" "LTR" "not_kmer" 0.0439778962434695
"55" "Copia-1_Deu" "LTR" "not_kmer" 0.246109828992523
"56" "Copia-1_DFi" "LTR" "not_kmer" 0.0099156072618114
"57" "Copia-1_DSim" "LTR" "not_kmer" 0.180603929816992
"58" "Copia-1_DTa" "LTR" "not_kmer" 0.0137494899315106
"59" "Copia-1_DYa" "LTR" "not_kmer" 0.0117130753622061
"60" "Copia-14_SI" "LTR" "not_kmer" 0.0126272469651701
"61" "Copia-2_DGri" "LTR" "not_kmer" 0.00029734069024453
"62" "Copia-2_DKi" "LTR" "not_kmer" 0.0380126244950536
"63" "Copia-3_DEu" "LTR" "not_kmer" 0.00476114263261756
"64" "Copia-3_DGri" "LTR" "not_kmer" 0.0145381475185023
"65" "Copia-37_DPu" "LTR" "not_kmer" 0.044105423853281
"66" "Copia-4_DGri" "LTR" "not_kmer" 0.0261743707158484
"67" "Copia-6_DAn" "LTR" "not_kmer" 0.0145384831174755
"68" "Copia-6_DWil" "LTR" "not_kmer" 0.0190717540472984
"69" "Copia-8_DAn" "LTR" "not_kmer" 0.137243200085215
"70" "Copia-8_DWil" "LTR" "not_kmer" 0.00434332191099855
"71" "Copia-9_DWil" "LTR" "not_kmer" 0.00339357681687663
"72" "Copia-9_ST" "LTR" "not_kmer" 0.00519171611521771
"73" "Copia1_DM" "LTR" "not_kmer" 0.0156382409526125
"74" "Copia1_Dmoj" "LTR" "not_kmer" 0.0222659850741014
"75" "Copia2_Dpse" "LTR" "not_kmer" 0.0127014143382446
"76" "CR1_Ele33_pol" "LINE" "not_kmer" 0.0127332962406975
"77" "CR1_Ele5_pol" "LINE" "not_kmer" 0.00479705172274867
"78" "CR1-1_DAn_pol" "LINE" "not_kmer" 0.0122587592926097
"79" "CR1-1_DK_pol" "LINE" "not_kmer" 0.00888833880488306
"80" "CR1-1_DPer_pol" "LINE" "not_kmer" 0.102169415798369
"81" "CR1-1_DRh_pol" "LINE" "not_kmer" 0.00328517834853692
"82" "CR1-1_DWil_pol" "LINE" "not_kmer" 0.0082433175784158
"83" "CR1-10_DTa_pol" "LINE" "not_kmer" 0.0365900204477098
"84" "CR1-110_AAe_pol" "LINE" "not_kmer" 0.00862623600682326
"85" "CR1-12_DTa_pol" "LINE" "not_kmer" 0.0920917142325075
"86" "CR1-123_AAe_pol" "LINE" "not_kmer" 0.00856515699370306
"87" "CR1-2_DBi_pol" "LINE" "not_kmer" 0.000991023767824039
"88" "CR1-2_DPer_pol" "LINE" "not_kmer" 0.00262941795492765
"89" "CR1-3_DAn_pol" "LINE" "not_kmer" 0.0204987208812936
"90" "CR1-3_DK_pol" "LINE" "not_kmer" 0.00193539927837495
"91" "CR1-3_DWi_pol" "LINE" "not_kmer" 0.154945710321907
"92" "CR1-4_DBi_pol" "LINE" "not_kmer" 0.0587496206473107
"93" "CR1-4_DEl_pol" "LINE" "not_kmer" 0.00810236600967686
"94" "CR1-7_DT_pol" "LINE" "not_kmer" 0.0280661421277089
"95" "CR1-85_AAe_pol" "LINE" "not_kmer" 0.0180498551739411
"96" "CR1-9_Hmel_pol" "LINE" "not_kmer" 0.00682272712491118
"97" "CRMAR_tp" "DNA_Transposon" "not_kmer" 0.0633325602251654
"98" "DM176_pol" "LTR" "not_kmer" 0.067445661240557
"99" "DOC_pol" "LINE" "not_kmer" 0.0095447703964387
