"kmer.id" "j.counts" "genome" "sc3" "dif" "per" "esp_array"
"1" "1_4" 4 1010 401 609 0.397029702970297 117.916666666667
"2" "10_2" 2 897 540 357 0.602006688963211 239.833333333333
"3" "100_40" 40 40 40 0 1 1
"4" "10000_2" 2 720 409 311 0.568055555555556 188.5
"5" "10002_1" 1 2 1 1 0.5 1.33333333333333
"6" "10003_2" 2 868 518 350 0.596774193548387 231.333333333333
"7" "10004_2" 2 69 69 0 1 23.3333333333333
"8" "10005_1" 1 2 2 0 1 1.66666666666667
"9" "10006_72" 72 79 79 0 1 1.06481481481481
"10" "10007_2" 2 1328 738 590 0.555722891566265 344.666666666667
"11" "10008_1" 1 1 1 0 1 1
"12" "10009_4" 4 2514 1198 1316 0.476531424025457 309.666666666667
"13" "1001_22" 22 22 22 0 1 1
"14" "10010_76" 76 82 82 0 1 1.05263157894737
"15" "10011_1" 1 28 22 6 0.785714285714286 17
"16" "10012_2" 2 1380 805 575 0.583333333333333 364.5
"17" "10013_2" 2 641 352 289 0.549141965678627 165.833333333333
"18" "10014_2" 2 1486 816 670 0.549125168236878 384
"19" "10015_1" 1 1 1 0 1 1
"20" "10016_36" 36 36 36 0 1 1
"21" "10017_1" 1 488 323 165 0.661885245901639 270.666666666667
"22" "10018_1" 1 1 1 0 1 1
"23" "10019_2" 2 855 505 350 0.590643274853801 227
"24" "1002_2" 2 2 2 0 1 1
"25" "10020_2" 2 817 508 309 0.621787025703794 221.166666666667
"26" "10021_2" 2 1730 1003 727 0.579768786127168 455.833333333333
"27" "10022_1" 1 1 1 0 1 1
"28" "10023_1" 1 1 1 0 1 1
"29" "10024_55" 55 57 57 0 1 1.02424242424242
"30" "10025_2" 2 22 22 0 1 7.66666666666667
"31" "10026_85" 85 86 86 0 1 1.0078431372549
"32" "10027_3" 3 9 4 5 0.444444444444444 1.77777777777778
"33" "10028_2" 2 847 477 370 0.563164108618654 221
"34" "10029_37" 37 38 38 0 1 1.01801801801802
"35" "1003_2" 2 765 429 336 0.56078431372549 199.333333333333
"36" "10030_2" 2 63 61 2 0.968253968253968 21
"37" "10031_1" 1 1 1 0 1 1
"38" "10032_2" 2 1458 807 651 0.553497942386831 377.833333333333
"39" "10033_1" 1 2 2 0 1 1.66666666666667
"40" "10034_1" 1 1 1 0 1 1
"41" "10035_1" 1 84 83 1 0.988095238095238 56
"42" "10036_2" 2 883 536 347 0.607021517553794 236.833333333333
"43" "10037_2" 2 461 236 225 0.511930585683297 116.5
"44" "10038_58" 58 69 61 8 0.884057971014493 1.08045977011494
"45" "10039_79" 79 82 80 2 0.975609756097561 1.0168776371308
"46" "1004_4" 4 1547 648 899 0.418875242404654 183.25
"47" "10040_2" 2 879 527 352 0.599544937428896 234.666666666667
"48" "10041_1" 1 1 1 0 1 1
"49" "10042_2" 2 311 119 192 0.382636655948553 72
"50" "10043_1" 1 86 22 64 0.255813953488372 36.3333333333333
"51" "10044_1" 1 1 1 0 1 1
"52" "10045_2" 2 3 3 0 1 1.33333333333333
"53" "10046_1" 1 5 3 2 0.6 3
"54" "10047_1" 1 2 2 0 1 1.66666666666667
"55" "10048_81" 81 87 86 1 0.988505747126437 1.04526748971193
"56" "10049_1" 1 1428 786 642 0.550420168067227 738.333333333333
"57" "1005_4" 4 24 24 0 1 4.33333333333333
"58" "10050_2" 2 4 4 0 1 1.66666666666667
"59" "10051_1" 1 1 1 0 1 1
"60" "10052_19" 19 70 70 0 1 2.78947368421053
"61" "10053_1" 1 780 451 329 0.578205128205128 410.666666666667
"62" "10054_4" 4 25 25 0 1 4.5
"63" "10055_2" 2 31 23 8 0.741935483870968 9.33333333333333
"64" "10056_4" 4 2858 1422 1436 0.497550734779566 357
"65" "10057_1" 1 527 260 267 0.493358633776091 262.666666666667
"66" "10058_1" 1 1 1 0 1 1
"67" "10059_1" 1 24 21 3 0.875 15.3333333333333
"68" "1006_3" 3 3 3 0 1 1
"69" "10060_1" 1 135 86 49 0.637037037037037 74
"70" "10061_2" 2 2 2 0 1 1
"71" "10062_1" 1 67 67 0 1 45
"72" "10063_1" 1 1 1 0 1 1
"73" "10064_1" 1 1 1 0 1 1
"74" "10065_1" 1 1 1 0 1 1
"75" "10066_2" 2 376 167 209 0.444148936170213 90.8333333333333
"76" "10067_2" 2 880 468 412 0.531818181818182 225
"77" "10068_1" 1 797 472 325 0.592220828105395 423.333333333333
"78" "10069_2" 2 276 119 157 0.431159420289855 66.1666666666667
"79" "1007_77" 77 84 84 0 1 1.06060606060606
"80" "10070_38" 38 74 73 1 0.986486486486487 1.62280701754386
"81" "10071_2" 2 778 506 272 0.650385604113111 214.333333333333
"82" "10072_2" 2 823 491 332 0.596597812879708 219.333333333333
"83" "10073_2" 2 1600 905 695 0.565625 417.833333333333
"84" "10074_1" 1 1 1 0 1 1
"85" "10075_2" 2 1231 681 550 0.553208773354996 319
"86" "10077_2" 2 3 3 0 1 1.33333333333333
"87" "10078_2" 2 672 384 288 0.571428571428571 176.333333333333
"88" "10079_1" 1 192 112 80 0.583333333333333 101.666666666667
"89" "1008_1" 1 1 1 0 1 1
"90" "10080_2" 2 1427 772 655 0.540995094604064 366.833333333333
"91" "10081_1" 1 15 15 0 1 10.3333333333333
"92" "10082_1" 1 6 6 0 1 4.33333333333333
"93" "10083_1" 1 1 1 0 1 1
"94" "10084_2" 2 783 462 321 0.590038314176245 207.833333333333
"95" "10085_2" 2 798 490 308 0.614035087719298 215
"96" "10086_1" 1 1 1 0 1 1
"97" "10087_1" 1 1 1 0 1 1
"98" "10088_1" 1 1 1 0 1 1
"99" "10089_1" 1 140 71 69 0.507142857142857 70.6666666666667
"100" "1009_1" 1 11 11 0 1 7.66666666666667
"101" "10090_2" 2 2 2 0 1 1
"102" "10091_1" 1 1 1 0 1 1
"103" "10092_2" 2 237 89 148 0.375527426160338 54.6666666666667
"104" "10093_2" 2 344 142 202 0.412790697674419 81.3333333333333
"105" "10094_86" 86 86 86 0 1 1
"106" "10095_2" 2 858 513 345 0.597902097902098 228.833333333333
"107" "10096_2" 2 334 206 128 0.616766467065868 90.3333333333333
"108" "10097_2" 2 1008 436 572 0.432539682539683 241
"109" "10098_2" 2 1131 632 499 0.558797524314766 294.166666666667
"110" "10099_1" 1 1 1 0 1 1
"111" "101_1" 1 67 24 43 0.358208955223881 30.6666666666667
"112" "1010_79" 79 83 83 0 1 1.0337552742616
"113" "10100_2" 2 750 407 343 0.542666666666667 193.166666666667
"114" "10101_3" 3 3 3 0 1 1
"115" "10102_2" 2 1323 685 638 0.517762660619803 335
"116" "10103_2" 2 2 2 0 1 1
"117" "10104_2" 2 1006 494 512 0.491053677932406 250.333333333333
"118" "10105_2" 2 2 2 0 1 1
"119" "10106_2" 2 446 264 182 0.591928251121076 118.666666666667
"120" "10107_2" 2 867 521 346 0.600922722029988 231.666666666667
"121" "10108_1" 1 1 1 0 1 1
