c.label	name	chromosome	contignum	c_start	c_end	cq_contig	counts
1	sc2_19	2	19	1863825	2298119	0.741459	11
2	sc2_35	2	35	3247256	3468897	1.08814	15
3	sc2_45	2	45	3692848	3938821	0.933301	16
4	sc2_49	2	49	3988602	4276748	1.02163	23
5	sc2_51	2	51	4276848	4479864	0.9573245	22
6	sc2_61	2	61	4843969	4966841	1.00126	13
7	sc2_65	2	65	5081867	5303227	0.9828815	32
8	sc2_67	2	67	5303327	5588862	0.9698665	30
9	sc2_73	2	73	5769860	6073502	1.07834	35
10	sc2_75	2	75	6073602	6478683	1.19158	35
11	sc2_81	2	81	6590985	9102419	1.05816	153
12	sc2_83	2	83	9102519	9292905	1.053725	16
13	sc2_85	2	85	9293005	10530515	0.9489575	26
14	sc2_89	2	89	10578433	11464125	0.11308	25
15	sc2_93	2	93	11563961	14460360	1.04741	44
16	sc2_113	2	113	15403904	16190465	0.991365	24
17	sc2_115	2	115	16190565	16786673	1.06035	27
18	sc2_117	2	117	16786773	17564192	0.971023	35
19	sc2_119	2	119	17564292	20465858	0.980549	103
20	sc2_121	2	121	20465958	20955812	0.859973	27
21	sc2_123	2	123	20955912	21932926	0.9666895	36
22	sc2_139	2	139	23272895	24191152	0.954997	41
23	sc2_141	2	141	24191252	25407549	0.996862	39
24	sc2_149	2	149	25871251	26171850	1.08859	11
25	sc2_153	2	153	26263471	26901612	0.9968175	46
26	sc2_157	2	157	27160639	27334088	1.06712	19
27	sc2_161	2	161	27570704	28426594	1.047065	24
28	sc2_207	2	207	31383217	31578960	0.995067	11
29	sc2_209	2	209	31579060	31893859	0.988026	32
30	sc2_221	2	221	32451930	32777197	0.9358355	26
31	sc2_225	2	225	32841252	33030246	1.22654	10
32	sc2_227	2	227	33030346	33267417	0.866094	11
33	sc2_233	2	233	33515427	33881982	1.05306	26
34	sc2_237	2	237	33916703	34784544	0.97192	61
35	sc2_239	2	239	34784644	35116504	1.06113	28
36	sc2_241	2	241	35116604	35974870	0.978574	81
37	sc2_243	2	243	35974970	41496197	0.99824	205
38	sc2_247	2	247	41753876	42803434	0.9780575	18
39	sc2_251	2	251	43066804	43460412	0.902254	11
40	sc2_257	2	257	43559787	44051071	1.10296	29
41	sc2_261	2	261	44245116	44691748	1.139975	24
42	sc2_265	2	265	44841336	45530459	1.00051	27
43	sc2_271	2	271	46668979	47818549	0.9097635	30
44	sc2_275	2	275	47895726	48886320	1.032605	28
45	sc2_291	2	291	50317390	50589879	1.11011	15
46	sc2_293	2	293	50589979	51118226	1.02554	32
47	sc2_297	2	297	51196333	51499673	1.08627	15
48	sc2_301	2	301	51533728	51835071	1.08079	15
49	sc2_303	2	303	51835171	52563723	0.9291645	18
50	sc2_321	2	321	53507523	53939117	1.059695	32
51	sc2_323	2	323	53939217	55202351	1.0268	77
52	sc2_329	2	329	55447772	55743337	1.10357	15
53	sc2_331	2	331	55743437	56123104	1.2454	12
54	sc2_335	2	335	56369164	56739751	0.99415	15
55	sc2_339	2	339	57174984	57512541	1.20091	14
56	sc2_341	2	341	57512641	57693356	0.954274	13
57	sc2_343	2	343	57693456	58172674	0.951329	29
58	sc2_347	2	347	58224932	58576101	1.04813	23
59	sc2_351	2	351	58645915	59128245	0.936435	17
60	sc2_367	2	367	60218411	60414447	0.86024	18
61	sc2_371	2	371	60538493	60952205	1.016565	26
62	sc2_377	2	377	61204566	61287739	0.8014015	10
63	sc2_379	2	379	61287839	61633445	0.972812	27
64	sc2_381	2	381	61633545	62109457	1.10346	32
65	sc2_383	2	383	62109557	62334342	1.2834	15
66	sc2_385	2	385	62334442	62925896	1.19812	26
67	sc2_391	2	391	63344881	63749979	0.921299	17
68	sc2_393	2	393	63750079	64148864	1.15465	11
69	sc2_407	2	407	65177058	65758989	1.025275	40
70	sc2_409	2	409	65759089	66377657	1.0416	35
71	sc2_423	2	423	67094378	67711315	0.826737	22
72	sc2_431	2	431	67883196	68108185	0.942416	20
73	sc2_447	2	447	68668681	69119139	1.0023855	16
74	sc2_451	2	451	69265761	69838291	0.9558135	18
75	sc2_463	2	463	70514117	70884823	0.949839	23
76	sc2_471	2	471	71085259	71517845	1.0247	28
77	sc2_473	2	473	71517945	72443821	1.058905	62
78	sc2_481	2	481	72728547	73015547	0.6697765	12
79	sc2_489	2	489	73544758	73937147	0.908446	17
80	sc2_497	2	497	74392855	74911974	0.943524	10
81	sc2_509	2	509	75797599	76264921	0.904263	15
82	sc2_513	2	513	76480748	77643062	0.956287	19
83	sc2_515	2	515	77643162	78281764	0.741459	19
84	sc2_521	2	521	78495244	79058322	0.9119785	14
85	sc2_527	2	527	79214747	80297474	1.0346	26
86	sc2_529	2	529	80297574	80674072	1.01672	11
87	sc1_7	1	7	378381	1215605	0.9215635	40
88	sc1_9	1	9	1215705	2807499	0.933142	99
89	sc1_11	1	11	2807599	3812206	0.9736445	58
90	sc1_17	1	17	4014146	4474364	1.01594	15
91	sc1_19	1	19	4474464	4964157	1.057315	10
92	sc1_21	1	21	4964257	5328145	1.02514	12
93	sc1_25	1	25	5520006	6948959	1.10216	82
94	sc1_29	1	29	7011701	7612132	1.01741	33
95	sc1_39	1	39	8144188	9458015	0.935633	55
96	sc1_41	1	41	9458115	10283915	0.972995	50
97	sc1_51	1	51	11162929	12200526	0.999899	55
98	sc1_53	1	53	12200626	16504758	1.00717	271
99	sc1_55	1	55	16504858	17676573	0.999155	82
100	sc1_57	1	57	17676673	17928805	1.07724	35
101	sc1_59	1	59	17928905	18391922	1.03283	31
102	sc1_63	1	63	18489217	18680004	0.884498	15
103	sc1_69	1	69	18846418	18994273	0.93367	13
104	sc1_71	1	71	18994373	19408261	0.950033	19
105	sc1_73	1	73	19408361	19773563	1.09696	20
106	sc1_75	1	75	19773663	20263702	0.979911	21
107	sc1_77	1	77	20263802	20848132	0.951351	28
108	sc1_91	1	91	21580534	22087882	1.00442	31
109	sc1_93	1	93	22087982	22497994	1.07781	17
110	sc1_95	1	95	22498094	22826796	0.856386	18
111	sc1_107	1	107	23294685	23627335	0.721155	10
112	sc1_115	1	115	23822369	23916250	1.15145	13
113	sc1_117	1	117	23916350	24082388	1.0153335	10
114	sc1_123	1	123	24258830	24876424	1.07175	45
115	sc1_127	1	127	24934747	25279916	0.9011985	26
116	sc1_131	1	131	25288426	25754435	0.909181	17
117	sc1_135	1	135	25864288	26895614	0.954623	29
